#group,FALSE,FALSE,FALSE,FALSE
#datatype,string,dateTime:RFC3339,string,long
#default,,,,
,host,time,topic,value
,LAPTOP-8866L08J,2024-04-28T15:13:59.796648906Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:07.6794388Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:09.832700532Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:09.832700561Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:10.872860813Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:10.872860817Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:11.956058907Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:11.95652866Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:13.090079771Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:13.094947404Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:14.122183113Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:14.125791088Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:15.21117445Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:15.216605569Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:16.29090734Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:16.290916648Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:17.39701354Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:17.397054994Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:18.46516763Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:18.470684948Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:19.541313339Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:19.541330116Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:20.722536287Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:20.722894933Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:21.724860432Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:21.731570503Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:22.804072523Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:22.804085694Z,LoRa/ab/cm,49
